,timepoint,year
R1-2010-02-08,2010-02-08,2010
R1-2010-02-25,2010-02-25,2010
R1-2010-03-12,2010-03-12,2010
R1-2010-03-25,2010-03-25,2010
R1-2010-04-08,2010-04-08,2010
R1-2010-04-22,2010-04-22,2010
R1-2010-05-06,2010-05-06,2010
R1-2010-05-20,2010-05-20,2010
R1-2010-06-03,2010-06-03,2010
R1-2010-06-17,2010-06-17,2010
R1-2010-07-01,2010-07-01,2010
R1-2010-07-15,2010-07-15,2010
R1-2010-07-29,2010-07-29,2010
R1-2010-08-12,2010-08-12,2010
R1-2010-08-31,2010-08-31,2010
R1-2010-09-09,2010-09-09,2010
R1-2010-09-24,2010-09-24,2010
R1-2010-10-04,2010-10-04,2010
R1-2010-10-18,2010-10-18,2010
R1-2010-11-08,2010-11-08,2010
R1-2010-11-19,2010-11-19,2010
R1-2010-12-03,2010-12-03,2010
R1-2010-12-16,2010-12-16,2010
R1-2010-12-31,2010-12-31,2010
R1-2011-01-10,2011-01-10,2011
R1-2011-01-28,2011-01-28,2011
R1-2011-02-04,2011-02-04,2011
R1-2011-02-18,2011-02-18,2011
R1-2011-03-10,2011-03-10,2011
R1-2011-03-25,2011-03-25,2011
R1-2011-04-12,2011-04-12,2011
R1-2011-04-26,2011-04-26,2011
R1-2011-05-06,2011-05-06,2011
R1-2011-05-23,2011-05-23,2011
R1-2011-06-06,2011-06-06,2011
R1-2011-06-17,2011-06-17,2011
R1-2011-07-01,2011-07-01,2011
R1-2011-07-15,2011-07-15,2011
R1-2011-08-01,2011-08-01,2011
R1-2011-08-15,2011-08-15,2011
R1-2011-08-29,2011-08-29,2011
R1-2011-09-15,2011-09-15,2011
R1-2011-09-30,2011-09-30,2011
R1-2011-10-07,2011-10-07,2011
R1-2011-10-21,2011-10-21,2011
R1-2011-11-04,2011-11-04,2011
R1-2011-11-16,2011-11-16,2011
R1-2011-12-02,2011-12-02,2011
R1-2011-12-16,2011-12-16,2011
R1-2011-12-28,2011-12-28,2011
R1-2012-01-13,2012-01-13,2012
R1-2012-01-27,2012-01-27,2012
R1-2012-02-03,2012-02-03,2012
R1-2012-02-13,2012-02-13,2012
R1-2012-02-27,2012-02-27,2012
R1-2012-03-09,2012-03-09,2012
R1-2012-03-23,2012-03-23,2012
R1-2012-04-05,2012-04-05,2012
R1-2012-04-16,2012-04-16,2012
R1-2012-04-23,2012-04-23,2012
R1-2012-05-11,2012-05-11,2012
R1-2012-05-21,2012-05-21,2012
R1-2012-05-31,2012-05-31,2012
R1-2012-06-15,2012-06-15,2012
R1-2012-06-28,2012-06-28,2012
R1-2012-07-12,2012-07-12,2012
R1-2012-07-24,2012-07-24,2012
R1-2012-08-09,2012-08-09,2012
R1-2012-08-27,2012-08-27,2012
R1-2012-09-07,2012-09-07,2012
R1-2012-09-23,2012-09-23,2012
R1-2012-10-05,2012-10-05,2012
R1-2012-10-19,2012-10-19,2012
R1-2012-11-01,2012-11-01,2012
R1-2012-11-13,2012-11-13,2012
R1-2012-11-29,2012-11-29,2012
R1-2012-12-15,2012-12-15,2012
R1-2013-01-08,2013-01-08,2013
R1-2013-01-25,2013-01-25,2013
R1-2013-02-08,2013-02-08,2013
R1-2013-03-01,2013-03-01,2013
R1-2013-03-15,2013-03-15,2013
R1-2013-04-05,2013-04-05,2013